Anio,Mes,Iniciados,Total_Concluidos,Concluidos_favorablemente,Montos_Recuperados_millones_Pesos,Fecha,fn_Iniciados,fn_Total_Concluidos,fn_Concluidos_favorablemente
2012,Diciembre,1857,4111,3958,809.9,2012-12-01,1857.0,4111.0,3958.0
2013,Enero,1207,1733,1574,167.5,2013-01-01,1207.0,1733.0,1574.0
2013,Febrero,1907,1859,1724,200.1,2013-02-01,1907.0,1859.0,1724.0
2013,Marzo,1958,2085,1905,194.4,2013-03-01,1958.0,2085.0,1905.0
2013,Abril,2412,1905,1676,180.9,2013-04-01,2412.0,1905.0,1676.0
2013,Mayo,1702,1513,1372,75.6,2013-05-01,1702.0,1513.0,1372.0
2013,Junio,2152,3314,3088,167.6,2013-06-01,2152.0,3314.0,3088.0
2013,Julio,1078,1292,1161,60.3,2013-07-01,1078.0,1292.0,1161.0
2013,Agosto,1757,1596,1413,122.7,2013-08-01,1757.0,1596.0,1413.0
2013,Septiembre,2036,4105,3887,295.2,2013-09-01,2036.0,4105.0,3887.0
2013,Octubre,1475,2179,1966,193.2,2013-10-01,1475.0,2179.0,1966.0
2013,Noviembre,4547,2201,1944,266.6,2013-11-01,4547.0,2201.0,1944.0
2013,Diciembre,997,1144,1053,172.1,2013-12-01,997.0,1144.0,1053.0
2014,Enero,1186,1377,1205,193.0,2014-01-01,1186.0,1377.0,1205.0
2014,Febrero,1859,2612,2280,137.0,2014-02-01,1859.0,2612.0,2280.0
2014,Marzo,1594,1365,1182,177.0,2014-03-01,1594.0,1365.0,1182.0
2014,Abril,1243,1798,1611,236.6,2014-04-01,1243.0,1798.0,1611.0
2014,Mayo,1535,1700,1516,207.0,2014-05-01,1535.0,1700.0,1516.0
2014,Junio,1677,2176,1978,358.2,2014-06-01,1677.0,2176.0,1978.0
2014,Julio,1254,1502,1377,223.1,2014-07-01,1254.0,1502.0,1377.0
2014,Agosto,1574,1635,1469,222.5,2014-08-01,1574.0,1635.0,1469.0
2014,Septiembre,1516,1276,1109,124.1,2014-09-01,1516.0,1276.0,1109.0
2014,Octubre,1892,1601,1341,203.0,2014-10-01,1892.0,1601.0,1341.0
2014,Noviembre,1319,1255,1011,78.0,2014-11-01,1319.0,1255.0,1011.0
2014,Diciembre,2786,1792,1608,210.5,2014-12-01,2786.0,1792.0,1608.0
2015,Enero,1157,1239,1033,120.0,2015-01-01,1157.0,1239.0,1033.0
2015,Febrero,1265,1365,1151,147.3,2015-02-01,1265.0,1365.0,1151.0
2015,Marzo,1338,1593,1386,174.6,2015-03-01,1338.0,1593.0,1386.0
2015,Abril,1020,1360,1232,207.6,2015-04-01,1020.0,1360.0,1232.0
2015,Mayo,1073,1285,1168,118.0,2015-05-01,1073.0,1285.0,1168.0
2015,Junio,1404,1336,1178,108.0,2015-06-01,1404.0,1336.0,1178.0
2015,Julio,853,804,700,53.2,2015-07-01,853.0,804.0,700.0
2015,Agosto,1307,966,809,65.7,2015-08-01,1307.0,966.0,809.0
2015,Septiembre,1266,937,763,74.4,2015-09-01,1266.0,937.0,763.0
2015,Octubre,1475,1539,1361,16.4,2015-10-01,1475.0,1539.0,1361.0
2015,Noviembre,2238,2215,1827,29.3,2015-11-01,2238.0,2215.0,1827.0
2015,Diciembre,731,1116,983,27.4,2015-12-01,731.0,1116.0,983.0
2016,Enero,1033,1138,964,137.1,2016-01-01,1033.0,1138.0,964.0
2016,Febrero,1035,1440,1249,81.1,2016-02-01,1035.0,1440.0,1249.0
2016,Marzo,1235,2148,1768,167.1,2016-03-01,1235.0,2148.0,1768.0
2016,Abril,1300,1314,1116,103.9,2016-04-01,1300.0,1314.0,1116.0
2016,Mayo,1286,1011,882,81.2,2016-05-01,1286.0,1011.0,882.0
2016,Junio,1665,1522,1253,86.0,2016-06-01,1665.0,1522.0,1253.0
2016,Julio,1040,2314,2119,176.1,2016-07-01,1040.0,2314.0,2119.0
2016,Agosto,1262,3466,3216,236.8,2016-08-01,1262.0,3466.0,3216.0
2016,Septiembre,1309,1314,1169,144.6,2016-09-01,1309.0,1314.0,1169.0
2016,Octubre,1106,1311,1137,96.6,2016-10-01,1106.0,1311.0,1137.0
2016,Noviembre,1252,1671,1148,99.2,2016-11-01,1252.0,1671.0,1148.0
2016,Diciembre,891,745,637,63.1,2016-12-01,891.0,745.0,637.0
2017,Enero,1067,1262,1004,95.0,2017-01-01,1067.0,1262.0,1004.0
2017,Febrero,1155,2041,1639,168.5,2017-02-01,1155.0,2041.0,1639.0
