Anio,Mes,Total,Textil,Electrica,Cinematografica,Hulera,Azucarera,Minera,Metalurgica_Siderurgica,Productora_Alimentos,Hidrocarburos,Petroquimica,Cementera,Calera,Automotriz,Quimica,Celulosa_y_Papel,Aceites_y_Grasas_Vegetales,Elaboracion_Bebidas,Ferrocarrilera,Maderera,Vidriera,Tabacalera,Administracion_por_Gobierno_Federal,Ejecuten_Trabajos_en_Zonas_Federales,Bajo_Contrato_o_Concesion_Federal,Rama_Local,Banca_y_credito,Fecha
2012,Diciembre,1857,5,21,2,0,11,8,2,15,2,6,0,1,12,7,1,1,16,4,1,1,1,625,114,928,73,0,2012-12-01
2013,Enero,1207,6,11,2,0,6,5,11,18,1,8,0,1,7,5,2,0,10,1,1,2,0,383,113,567,47,0,2013-01-01
2013,Febrero,1907,4,30,5,3,25,5,9,21,2,14,2,0,5,5,5,1,11,4,1,0,2,655,228,792,78,0,2013-02-01
2013,Marzo,1958,7,19,2,2,18,3,8,21,1,8,0,0,6,2,2,2,17,3,0,0,1,652,123,984,77,0,2013-03-01
2013,Abril,2412,9,36,0,1,13,7,4,19,4,12,0,0,9,7,1,1,29,2,2,1,0,806,112,1235,102,0,2013-04-01
2013,Mayo,1702,10,28,1,1,12,6,3,21,1,7,0,0,8,4,0,0,12,5,1,1,0,549,157,818,57,0,2013-05-01
2013,Junio,2152,7,17,4,0,21,9,7,31,2,6,4,1,13,6,3,0,19,4,1,0,1,795,210,906,85,0,2013-06-01
2013,Julio,1078,6,23,2,1,7,3,4,18,1,3,0,0,5,1,2,0,16,1,1,0,0,429,82,421,52,0,2013-07-01
2013,Agosto,1757,20,18,2,2,19,6,5,31,3,9,1,0,16,4,0,3,36,0,0,0,0,599,127,734,122,0,2013-08-01
2013,Septiembre,2036,14,32,5,3,19,8,2,24,6,8,2,0,15,6,1,2,24,1,1,2,1,748,155,812,145,0,2013-09-01
2013,Octubre,1475,14,15,1,0,23,4,2,24,5,4,0,0,3,11,1,0,14,5,2,0,0,508,139,604,96,0,2013-10-01
2013,Noviembre,4547,22,36,4,2,22,14,7,54,5,16,2,1,30,17,5,1,43,11,1,1,2,1477,698,1835,241,0,2013-11-01
2013,Diciembre,997,8,14,1,2,8,2,2,14,7,3,0,0,5,4,0,1,12,0,2,1,0,418,44,408,41,0,2013-12-01
2014,Enero,1186,7,7,0,1,21,7,3,8,4,3,2,0,6,11,3,1,14,6,1,2,1,388,119,515,56,0,2014-01-01
2014,Febrero,1859,9,21,5,4,16,13,4,25,5,14,1,0,10,6,2,3,15,16,2,2,0,645,147,834,60,0,2014-02-01
2014,Marzo,1594,10,20,1,0,12,18,5,19,6,6,1,1,9,6,1,1,10,3,4,0,0,548,119,751,43,0,2014-03-01
2014,Abril,1243,10,16,2,0,11,15,4,21,3,8,1,0,23,8,5,1,8,5,7,0,0,438,66,537,54,0,2014-04-01
2014,Mayo,1535,12,17,11,0,15,4,1,24,3,11,5,0,6,6,2,1,17,0,0,2,0,460,140,650,148,0,2014-05-01
2014,Junio,1677,9,12,1,2,10,8,5,22,4,1,1,0,12,7,2,2,27,4,7,0,1,469,98,834,139,0,2014-06-01
2014,Julio,1254,3,10,1,1,11,4,3,15,4,6,1,0,7,3,2,2,15,4,2,1,0,386,99,639,35,0,2014-07-01
2014,Agosto,1574,4,15,0,2,4,12,1,24,8,9,0,0,19,4,1,1,10,1,4,0,0,526,146,732,51,0,2014-08-01
2014,Septiembre,1516,7,17,0,0,11,5,5,18,4,11,1,0,13,5,0,3,12,1,2,0,0,468,125,770,38,0,2014-09-01
2014,Octubre,1892,4,27,1,3,15,4,6,18,1,13,0,0,15,11,2,0,13,6,3,2,0,664,112,920,52,0,2014-10-01
2014,Noviembre,1319,6,9,2,0,8,3,1,19,7,15,1,0,7,4,2,0,5,1,0,0,0,471,68,663,27,0,2014-11-01
2014,Diciembre,2786,22,21,11,2,17,27,7,70,6,15,2,1,36,14,2,3,31,1,5,3,0,842,144,1323,181,0,2014-12-01
2015,Enero,1157,2,22,8,1,11,11,2,16,3,11,1,0,10,4,0,0,4,1,1,0,0,397,84,517,51,0,2015-01-01
