Anio,Mes,Procuraduria,Total,Fecha
2018,JUNIO,ACAPULCO,724,2018-06-01
2018,JUNIO,AGUASCALIENTES,399,2018-06-01
2018,JUNIO,AZCAPOTZALCO (JFCA),230,2018-06-01
2018,JUNIO,CAMPECHE,611,2018-06-01
2018,JUNIO,CANANEA,438,2018-06-01
2018,JUNIO,CANCUN Q. ROO,532,2018-06-01
2018,JUNIO,CD. DEL CARMEN,493,2018-06-01
2018,JUNIO,CD. JUAREZ,1930,2018-06-01
2018,JUNIO,CD. VICTORIA,315,2018-06-01
2018,JUNIO,CHIHUAHUA,1665,2018-06-01
2018,JUNIO,COATZACOALCOS,1229,2018-06-01
2018,JUNIO,COLIMA,319,2018-06-01
2018,JUNIO,CUERNAVACA,738,2018-06-01
2018,JUNIO,CULIACAN,2520,2018-06-01
2018,JUNIO,CIUDAD DE MEXICO,14844,2018-06-01
2018,JUNIO,DURANGO,735,2018-06-01
2018,JUNIO,ENSENADA,368,2018-06-01
2018,JUNIO,GUADALAJARA,2296,2018-06-01
2018,JUNIO,GUANAJUATO,1882,2018-06-01
2018,JUNIO,HERMOSILLO,1767,2018-06-01
2018,JUNIO,JALAPA,1009,2018-06-01
2018,JUNIO,LA PAZ,978,2018-06-01
2018,JUNIO,MERIDA,893,2018-06-01
2018,JUNIO,MONTERREY,2169,2018-06-01
2018,JUNIO,MORELIA,697,2018-06-01
2018,JUNIO,OAXACA,544,2018-06-01
2018,JUNIO,ORIZABA,937,2018-06-01
2018,JUNIO,PACHUCA,2024,2018-06-01
2018,JUNIO,PARRAL,247,2018-06-01
2018,JUNIO,POZA RICA,788,2018-06-01
2018,JUNIO,PUEBLA,3124,2018-06-01
2018,JUNIO,QUERETARO,4944,2018-06-01
2018,JUNIO,REYNOSA,481,2018-06-01
2018,JUNIO,SALTILLO,1078,2018-06-01
2018,JUNIO,SAN LUIS POTOSI,744,2018-06-01
2018,JUNIO,TAMPICO,1202,2018-06-01
2018,JUNIO,TEPIC,470,2018-06-01
2018,JUNIO,TIJUANA,1223,2018-06-01
