Anio,Mes,Total,Aguinaldo,Aportaciones,Condiciones_Generales_Trabajo,Designacion_Beneficiarios,Despido,Medidas_Disciplinarias,Pago_Reparto_Utilidades,Pension_IVCM_Riesgo_Trabajo,Preferencia_Derechos,Prestaciones_Ley_Federal_Trabajo,Prestaciones_Seguridad_Social,Rescision_Contrato,Rescision_por_Acoso,Retencion_Salarial,Retiro_Voluntario,Otras_Instancias,Fecha
2012,Diciembre,1857,0,538,1,1073,65,2,0,67,1,87,13,3,0,7,0,0,2012-12-01
2013,Enero,1207,0,393,0,662,58,1,0,30,2,51,2,3,0,3,2,0,2013-01-01
2013,Febrero,1907,0,629,0,1000,82,0,0,77,2,95,18,1,0,2,1,0,2013-02-01
2013,Marzo,1958,0,693,0,1000,92,1,0,53,2,100,10,1,0,3,3,0,2013-03-01
2013,Abril,2412,1,874,0,1173,119,2,0,84,7,120,21,0,0,6,5,0,2013-04-01
2013,Mayo,1702,0,697,0,723,82,0,3,65,2,115,6,1,0,5,3,0,2013-05-01
2013,Junio,2152,0,794,2,916,151,3,7,141,4,117,9,1,0,6,1,0,2013-06-01
2013,Julio,1078,0,366,0,470,99,2,2,53,1,73,5,1,0,3,3,0,2013-07-01
2013,Agosto,1757,0,675,3,759,121,0,1,84,4,91,14,0,0,2,3,0,2013-08-01
2013,Septiembre,2036,0,760,4,919,113,1,2,109,6,108,10,0,0,2,2,0,2013-09-01
2013,Octubre,1475,0,496,3,703,95,1,0,92,2,71,8,1,0,2,1,0,2013-10-01
2013,Noviembre,4547,0,1458,2,2275,276,1,7,261,10,205,34,6,0,9,3,0,2013-11-01
2013,Diciembre,997,0,358,2,439,61,2,0,65,1,58,4,1,0,4,2,0,2013-12-01
2014,Enero,1186,1,446,1,513,85,3,1,71,3,46,13,0,0,3,0,0,2014-01-01
2014,Febrero,1859,0,776,3,722,117,4,2,108,6,78,31,1,0,7,4,0,2014-02-01
2014,Marzo,1594,0,741,0,567,124,1,1,90,4,44,13,1,0,3,5,0,2014-03-01
2014,Abril,1243,0,522,1,444,102,2,1,84,2,59,15,1,0,7,3,0,2014-04-01
2014,Mayo,1535,0,677,3,555,123,1,3,94,0,58,9,2,0,4,6,0,2014-05-01
