Anio,Mes,Procuraduria,Juicios,Fecha
2012,Diciembre,Cananea,14,2012-12-01
2013,Enero,Cananea,20,2013-01-01
2013,Febrero,Cananea,14,2013-02-01
2013,Marzo,Cananea,15,2013-03-01
2013,Abril,Cananea,27,2013-04-01
2013,Mayo,Cananea,5,2013-05-01
2013,Junio,Cananea,15,2013-06-01
2013,Julio,Cananea,20,2013-07-01
2013,Agosto,Cananea,14,2013-08-01
2013,Septiembre,Cananea,14,2013-09-01
2013,Octubre,Cananea,14,2013-10-01
2013,Noviembre,Cananea,13,2013-11-01
2013,Diciembre,Cananea,7,2013-12-01
2014,Enero,Cananea,25,2014-01-01
2014,Febrero,Cananea,19,2014-02-01
2014,Marzo,Cananea,23,2014-03-01
2014,Abril,Cananea,18,2014-04-01
2014,Mayo,Cananea,9,2014-05-01
2014,Junio,Cananea,16,2014-06-01
2014,Julio,Cananea,10,2014-07-01
2014,Agosto,Cananea,12,2014-08-01
2014,Septiembre,Cananea,8,2014-09-01
2014,Octubre,Cananea,31,2014-10-01
2014,Noviembre,Cananea,18,2014-11-01
2014,Diciembre,Cananea,10,2014-12-01
2015,Enero,Cananea,14,2015-01-01
2015,Febrero,Cananea,17,2015-02-01
2015,Marzo,Cananea,16,2015-03-01
2015,Abril,Cananea,15,2015-04-01
2015,Mayo,Cananea,9,2015-05-01
2015,Junio,Cananea,10,2015-06-01
2015,Julio,Cananea,17,2015-07-01
2015,Agosto,Cananea,36,2015-08-01
2015,Septiembre,Cananea,25,2015-09-01
2015,Octubre,Cananea,14,2015-10-01
2015,Noviembre,Cananea,13,2015-11-01
2015,Diciembre,Cananea,6,2015-12-01
2016,Enero,Cananea,6,2016-01-01
2016,Febrero,Cananea,11,2016-02-01
2016,Marzo,Cananea,17,2016-03-01
2016,Abril,Cananea,10,2016-04-01
2016,Mayo,Cananea,16,2016-05-01
2016,Junio,Cananea,12,2016-06-01
2016,Julio,Cananea,11,2016-07-01
2016,Agosto,Cananea,14,2016-08-01
2016,Septiembre,Cananea,9,2016-09-01
2016,Octubre,Cananea,8,2016-10-01
2016,Noviembre,Cananea,12,2016-11-01
2016,Diciembre,Cananea,9,2016-12-01
2017,Enero,Cananea,6,2017-01-01
2017,Febrero,Cananea,9,2017-02-01
2017,Marzo,Cananea,17,2017-03-01
2017,Abril,Cananea,8,2017-04-01
